category,d_description_en,source
10_office_management,25 aircentric ergonomic chair black,manual
10_office_management,"25 aircentric ergonomic chair with multi-tilt, etc.",manual
3_information_technology,27 monitor,manual
10_office_management,3 workstations 10th floor,manual
2_professional_services,"3053 – communications services including design of graphics, art work, media relations",manual
0_other,"3252 interest, administration or service charges, and other penalty charges",classifier
0_other,3259 - miscellaneous expenditures not elsewhere classifie,classifier
3_information_technology,3259 miscellaneous expenditures (license agreement),classifier
0_other,3259 miscellaneous expenditures not elsewhere specified,classifier
0_other,3422 suspense account (debit) - ogd,classifier
0_other,3472 incremental recoveries from other appropriations (credit),classifier
0_other,3718 suspense account (credit balance) - ogd,classifier
2_professional_services,4073 other business services,manual
3_information_technology,44 dell optiplex computers,manual
1_facilities_and_construction,4843 sales of surplus crown assets,classifier
1_facilities_and_construction,5051 space rental - office and administrative,manual
0_other,6099 net inc/decr oth spec pur,classifier
0_other,6099 net increases or decreases in other specified purpose accounts,classifier
0_other,6299 net increase or decrease in other liabilities,classifier
3_information_technology,7 dell latitude laptops,manual
0_other,7099 net increase or decrease in other transactions,classifier
0_other,8225 payments,classifier
2_professional_services,A&e services gen non-const.,manual
1_facilities_and_construction,A&e services related to const.,manual
6_industrial_products_and_services,Abrasive materials,manual
6_industrial_products_and_services,"Abrasive, grain",classifier
3_information_technology,Absolute computrace renewal,manual
6_industrial_products_and_services,Absorbent material for oil and other petroleum products - repels water,classifier
6_industrial_products_and_services,"Absorbent material, oil and water",classifier
6_industrial_products_and_services,Absorbents - chemicals,classifier
1_facilities_and_construction,"Accelerometer, electrical, linear (except fire control and",classifier
1_facilities_and_construction,"Accelerometer, electrical, linear (except fire control and guided missile)",classifier
3_information_technology,Accellion licenses renewal,manual
1_facilities_and_construction,"Access hatches, building, custom",classifier
3_information_technology,Access to database for legal research,manual
2_professional_services,Access to information and privacy consultant for the review and processing of atip requests. This contract was competitively sourced. This contract includes an amendment. The original contract was reported when it was awarded,manual
3_information_technology,Access to ncfta website tools for 1 year,manual
2_professional_services,Access to s&p global information resources: crtc-wide licence to access the kagan platform,manual
6_industrial_products_and_services,Accessories for secondary metal working machinery,classifier
6_industrial_products_and_services,Accessories for secondary metalworking machinery,classifier
3_information_technology,"Accessories, cctv",classifier
6_industrial_products_and_services,"Accessories, components, spares, electronic test equipment",classifier
6_industrial_products_and_services,"Accessories, video",classifier
3_information_technology,"Accessory, cctv, control system, microprocessor based",classifier
3_information_technology,"Accessory, cctv, control unit, camera, remote",classifier
6_industrial_products_and_services,"Accessory, cctv, housing (enclosure), camera, outdoor",classifier
3_information_technology,"Accessory, cctv, pan/tilt unit",classifier
3_information_technology,"Accessory, cctv, sync generator",classifier
3_information_technology,Accesspro bundle,manual
3_information_technology,Accesspro software and maintenance,manual
10_office_management,Accommodation & food services,classifier
10_office_management,Accommodation and food,classifier
10_office_management,"Accommodation and food services, n.e.s",classifier
10_office_management,"Accommodation and food services, n.e.s.",manual
10_office_management,Accommodation and/or food support,classifier
1_facilities_and_construction,Accommodation and/or food support services,manual
2_professional_services,Accounting & audit services,manual
2_professional_services,Accounting and audit services,manual
2_professional_services,Accounting and audit services - advisory services for audit committee,manual
2_professional_services,Accounting and audit services - audit committee,manual
2_professional_services,Accounting and audit services - audit of internal processes,manual
2_professional_services,Accounting and audit services - audit professional service,manual
2_professional_services,Accounting and audit services - audit services,manual
2_professional_services,Accounting and audit services - certified auditor services,manual
2_professional_services,Accounting and audit services - consultant for the elections canada audit committee,manual
2_professional_services,Accounting and audit services - grants and contribution recipient audit,classifier
2_professional_services,Accounting and audit services - internal audit services,manual
2_professional_services,Accounting and audit services - internal controls audit,manual
2_professional_services,Accounting and audit services - internal controls audit services,manual
3_information_technology,Accounting and audit services - it security audit,manual
3_information_technology,Accounting and audit services - it security audit services,manual
2_professional_services,"Accounting and audit services - professional services of senior auditor, to assist with business process level of internal control over financial reporting",classifier
2_professional_services,Accounting and audit services - quality assurance specialist,manual
2_professional_services,Accounting and audit services - recipient audit contract,classifier
2_professional_services,Accounting and audit services - recipient audit port of sept iles agreement,classifier
2_professional_services,Accounting and audit services - risk management specialist level 2,classifier
2_professional_services,"Accounting and audit services - senior auditor, to assist with business process level of internal control over financial reporting",classifier
2_professional_services,Accounting and audit services (internal audit services),manual
2_professional_services,Accounting and audit services (purchased from outs,manual
2_professional_services,"Accounting and audit services including financial administration and bookkeeping services, financial control, accounting and audit services, budget control systems, tax studies and other financial and related services. Note: this object should be used for financial and accounting operations and object 0491 should be used for consulting work where a consultant review processes in place and make recommendations.",manual
2_professional_services,Accounting and auditing services,manual
3_information_technology,Accounting and calculating machines,manual
2_professional_services,Accounting and financial management services,classifier
3_information_technology,Accounting software,manual
9_human_capital,Achats de programmes de formation et cours,manual
3_information_technology,Acoustic data processing system,classifier
1_facilities_and_construction,Acoustic tile contractors,classifier
11_defence,Acoustical analysis/technology (r&d),manual
3_information_technology,Acq. Computer equipment-client computing domain,manual
2_professional_services,Acquisition and contract charges,manual
3_information_technology,Acquisition and installation of av equipment,manual
3_information_technology,Acquisition of an aruba switch,manual
3_information_technology,Acquisition of application software & development,manual
3_information_technology,Acquisition of audio-visual equipment,manual
3_information_technology,Acquisition of audio/visual equipment,manual
3_information_technology,Acquisition of axiom memory for lenovo servers,manual
2_professional_services,Acquisition of camera and accessories,manual
3_information_technology,Acquisition of client software,manual
3_information_technology,Acquisition of communications/networking equipment,manual
3_information_technology,Acquisition of computer monitors,manual
3_information_technology,"Acquisition of image and video communications equipment, including facsimile, image transfer equipment, facsimile-image transfer switches, television, video, associated security, test, calibration, monitoring and analysis equipment, and associated optical character devices. It excludes equipment provided as part of a service supplied by telecommunications common carriers or other telecommunications service providers. Notes: equipment provided by a image/video service provider should be classified under object 0232.",manual
3_information_technology,Acquisition of informatics equipment and parts,manual
3_information_technology,Acquisition of informatics equipments and parts,manual
1_facilities_and_construction,Acquisition of land,manual
10_office_management,"Acquisition of machinery and equipment, including parts and consumable tools",manual
3_information_technology,Acquisition of microsoft sharepoint licenses,manual
3_information_technology,Acquisition of microsoft system centre configuration manager licenses.,manual
10_office_management,"Acquisition of office furniture and furnishings, including parts",manual
0_other,Acquisition of other advances with cash,classifier
2_professional_services,Acquisition of other machinery and parts,manual
3_information_technology,Acquisition of tableau pro licenses,manual
3_information_technology,Acquisition of tablets,manual
2_professional_services,Acquisition services - intermediate procurement specialist,manual
2_professional_services,Acquisition services - procurement specialist,manual
2_professional_services,Acquisition services - senior procurement specialists,manual
2_professional_services,Acquisitions services,manual
3_information_technology,Acquisiton of informatics equipment and parts,manual
2_professional_services,Acquistion and contract charges,manual
9_human_capital,Active engagement training and coaching,manual
6_industrial_products_and_services,"Actuator, electric, pneumatic, hydraulic, manual",classifier
11_defence,Ad00 - defence - other (r & d),classifier
6_industrial_products_and_services,"Adapters, electrical",classifier
3_information_technology,Add'l licenses & renewal of maintenance,manual
3_information_technology,Add on memories (internal/external),manual
3_information_technology,Additional information technology support services,classifier
3_information_technology,Additional licenses and support renewal,manual
6_industrial_products_and_services,Additive metal materials,classifier
5_transportation_and_logistics,"Additives and conditioners, fuel oil",manual
6_industrial_products_and_services,"Adhesive, glue",classifier
6_industrial_products_and_services,"Adhesive, glue, liquid",classifier
6_industrial_products_and_services,Adhesives,manual
2_professional_services,Administrative and management support services,manual
