economic_object_code,count,category,category_number,example_description_en
611,1104,1_facilities_and_construction,1,Waterworks and sewage systems
619,287,1_facilities_and_construction,1,Electric power installations
624,5,1_facilities_and_construction,1,Repair of office equipment
625,,1_facilities_and_construction,1,Arboriculture works
628,4163,1_facilities_and_construction,1,Other engineering works
630,7695,1_facilities_and_construction,1,Office buildings
631,,1_facilities_and_construction,1,Office buildings
632,,1_facilities_and_construction,1,Roof renovation works
634,1057,1_facilities_and_construction,1,Commercial buildings
635,1400,1_facilities_and_construction,1,Industrial buildings
639,3890,1_facilities_and_construction,1,Institutional buildings
640,566,1_facilities_and_construction,1,"Buildings and/or installations for telecommunications, computers and/or electronic/automated office systems"
645,6308,1_facilities_and_construction,1,Other buildings
646,5414,1_facilities_and_construction,1,Residential buildings
655,1194,6_industrial_products_and_services,6,Processing machinery
656,2641,1_facilities_and_construction,1,"Heating, air-conditioning and refrigeration equipment"
658,1725,1_facilities_and_construction,1,"Electric lighting, distribution and control equipment"
660,3952,1_facilities_and_construction,1,"Measuring, controlling, laboratory, medical and optical instruments, apparatus and accessories"
662,,1_facilities_and_construction,1,"Sprinkler Systems, Installation and Repair"
664,1145,3_information_technology,3,"Communications/networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)"
665,3881,3_information_technology,3,Other equipment
666,16,3_information_technology,3,Repair and maintenance of analog communications/ networking equipment
667,34,3_information_technology,3,Digital communications/networking equipment (inclu
668,382,3_information_technology,3,Repair and maintenance of image and video communications equipment
669,284,3_information_technology,3,Telecommunications equipment
670,2330,3_information_technology,3,Information technology and telecommunications consultants
671,296,10_office_management,10,Other office equipment
672,2427,3_information_technology,3,- Repairs and maintenance - information technology infrastructure equipment
673,847,3_information_technology,3,Computer equipment related to distributed comput
675,10515,5_transportation_and_logistics,5,Ships and boats
676,561,5_transportation_and_logistics,5,Aircraft
681,681,11_defence,11,Road motor vehicles-military
682,1195,5_transportation_and_logistics,5,Road motor vehicles - non-military
683,113,5_transportation_and_logistics,5,Miscellaneous vehicles
685,,1_facilities_and_construction,1,Building demolition works
700,6,10_office_management,10,Waste collection and disposal for building located at
701,643,10_office_management,10,Electricity
702,259,10_office_management,10,Natural gas
703,593,10_office_management,10,Sewer and water
705,1931,10_office_management,10,Waste disposal
709,266,10_office_management,10,Other utility services
715,,10_office_management,10,Other Miscellaneous Products and Goods
737,,10_office_management,10,OFFICE SUPPLIES
743,,3_information_technology,3,Information technology and telecommunications consultants
746,,3_information_technology,3,Purchase of Computer Equipment related to Distributed Computing Environment (DCE) - Desktop/Personal/Portable < $10K
768,5,1_facilities_and_construction,1,Replacement of a compressor
779,,1_facilities_and_construction,1,Lightning equipment
