owner_org,d_fiscal_year,total,total_constant_2019_dollars
rcmp-grc,2017-2018,8091971.71,8302664.22
rcmp-grc,2018-2019,10319936.29,10491655.19
rcmp-grc,2019-2020,5783858.84,5712802.36
rcmp-grc,2020-2021,8733147.77,8303460.44
rcmp-grc,2021-2022,9087754.61,8360958.30
sirc-csars,2017-2018,14415.97,14814.42
sirc-csars,2018-2019,10760.26,10916.27
ssc-spc,2017-2018,1952135.91,2002149.32
ssc-spc,2018-2019,3405690.37,3451093.81
ssc-spc,2019-2020,2976069.14,2928574.04
ssc-spc,2020-2021,3027272.43,2864565.86
ssc-spc,2021-2022,1171141.58,1085726.86
sshrc-crsh,2017-2018,36320.47,37267.34
sshrc-crsh,2018-2019,64050.33,64798.85
sshrc-crsh,2019-2020,295357.25,288513.22
sshrc-crsh,2020-2021,138515.13,131682.21
statcan,2017-2018,2618011.83,2681830.52
statcan,2018-2019,1354010.70,1374351.60
statcan,2019-2020,1705210.66,1682740.85
statcan,2020-2021,20044359.30,18942340.12
statcan,2021-2022,1128440.78,1037647.64
swc-cfc,2017-2018,68569.75,70296.33
swc-cfc,2018-2019,41934.12,42844.91
tbs-sct,2017-2018,915837.52,939989.73
tbs-sct,2018-2019,728083.29,739925.35
tbs-sct,2019-2020,1524653.76,1522677.67
tbs-sct,2020-2021,367911.64,349917.56
tbs-sct,2021-2022,408986.78,379640.55
tc,2017-2018,5118401.05,5248183.33
tc,2018-2019,3852626.19,3911265.62
tc,2019-2020,4809992.71,4745314.55
tc,2020-2021,3056896.49,2900955.43
tc,2021-2022,2813712.45,2597634.89
tsb-bst,2017-2018,14627.85,14972.66
tsb-bst,2018-2019,43885.07,44394.84
tsb-bst,2019-2020,49120.63,48316.12
tsb-bst,2020-2021,53026.26,50150.56
tsb-bst,2021-2022,102580.96,94064.68
vac-acc,2017-2018,549101.77,562995.92
vac-acc,2018-2019,1951231.35,1976772.11
vac-acc,2019-2020,3072623.23,3035901.82
vac-acc,2020-2021,1975527.98,1876390.91
vac-acc,2021-2022,1415829.01,1312376.75
vrab-tacra,2017-2018,69571.60,71391.56
vrab-tacra,2018-2019,38364.51,38782.33
vrab-tacra,2019-2020,1216.06,1186.63
vrab-tacra,2020-2021,94693.09,90581.19
wage,2017-2018,5213.76,5336.66
wage,2018-2019,98410.47,99688.01
wage,2019-2020,584516.48,572537.52
wage,2020-2021,17616.01,16747.02
wage,2021-2022,59270.37,54268.66
wd-deo,2018-2019,16547.00,16709.81
wd-deo,2019-2020,232035.95,231048.75
